document	topic	gamma
1_1840	1	0.011194029850746268
10_1840	1	0.006493506493506494
100_1847	1	0.008771929824561403
101_1847	1	0.02252252252252252
102-1_1847	1	0.04054054054054054
102-2_1847	1	0.0029239766081871343
1027-1_1829	1	0.02142857142857143
103_1848	1	0.007894736842105263
104-1_1848	1	0.016233766233766232
104-2_1848	1	0.002577319587628866
105_1848	1	0.004273504273504274
106_1841	1	0.05536912751677853
107_1850	1	0.010416666666666666
108_1850	1	0.006756756756756757
109_1843	1	0.005208333333333333
11_1840	1	0.003787878787878788
110_1850	1	0.016233766233766232
111_1846	1	0.12394957983193278
11192_1829	1	0.005747126436781609
112_1850	1	0.004273504273504274
113_1847	1	0.21808510638297873
114_1842	1	0.09420289855072464
115_1843	1	0.0846774193548387
1155_1835	1	0.003401360544217687
1156_1835	1	0.004273504273504274
116_1850	1	0.020161290322580645
1169_1826	1	0.0031847133757961785
117_1850	1	0.007142857142857143
118_1843	1	0.010869565217391304
119_1850	1	0.022058823529411766
11906_1830	1	0.024475524475524476
11994-1_1831	1	0.006944444444444444
12_1840	1	0.035
120_1850	1	0.06716417910447761
121_1850	1	0.0024752475247524753
122_1840	1	0.026881720430107527
123_1840	1	0.019230769230769232
12386_1820	1	0.092
124_1840	1	0.007425742574257425
12447-1_1822	1	0.16111111111111112
12447-2_1822	1	0.005434782608695652
12447-3_1822	1	0.016853932584269662
12499_1824	1	0.004098360655737705
12529_1824	1	0.0032679738562091504
12563-1_1825	1	0.12096774193548387
12563-2_1825	1	0.13768115942028986
12563-3_1825	1	0.007692307692307693
126_1840	1	0.004166666666666667
12692_1827	1	0.029661016949152543
127_1840	1	0.007142857142857143
12723-1_1828	1	0.2536231884057971
12726_1828	1	0.01020408163265306
12738_1828	1	0.004347826086956522
12761-1_1829	1	0.022058823529411766
128_1840	1	0.002857142857142857
12814-1_1830	1	0.006172839506172839
12865-1_1833	1	0.19014084507042253
12865-2_1833	1	0.06707317073170732
12865-3_1833	1	0.18831168831168832
12871_1833	1	0.012376237623762377
12872-1_1833	1	0.03731343283582089
12887-1_1834	1	0.17796610169491525
12891-1_1834	1	0.029069767441860465
12894-1_1834	1	0.31666666666666665
12897-1_1834	1	0.006172839506172839
12897-2_1834	1	0.0056179775280898875
12897-3_1834	1	0.005952380952380952
12898-1_1834	1	0.0783132530120482
12899_1834	1	0.006756756756756757
129_1841	1	0.022321428571428572
12908-1_1835	1	0.12295081967213115
12908-2_1835	1	0.1693548387096774
12908-3_1835	1	0.007042253521126761
13_1840	1	0.07451923076923077
130_1841	1	0.22023809523809523
131_1841	1	0.09130434782608696
132_1841	1	0.0058823529411764705
133_1841	1	0.06875
134_1841	1	0.006329113924050633
135_1841	1	0.03787878787878788
136_1841	1	0.0049504950495049506
137_1841	1	0.10326086956521739
138_1841	1	0.0024271844660194173
139_1841	1	0.002008032128514056
14_1840	1	0.0020161290322580645
140_1841	1	0.0023148148148148147
141_1841	1	0.004098360655737705
142-1_1841	1	0.003968253968253968
142-2_1841	1	0.009933774834437087
143_1841	1	0.0035714285714285713
144_1841	1	0.0045045045045045045
145_1842	1	0.057692307692307696
147_1842	1	0.013513513513513514
148_1842	1	0.03289473684210526
